	date	high	low	open	close	volume	Adj Close
0	2015-11-02	66.5999984741211	66.0999984741211	66.19999694824219	66.4000015258789	232000.0	54.836997985839844
1	2015-11-03	66.4000015258789	66.0	66.4000015258789	66.4000015258789	181000.0	54.836997985839844
2	2015-11-04	67.5	66.4000015258789	66.4000015258789	66.9000015258789	706000.0	55.24992752075195
3	2015-11-05	66.9000015258789	66.5999984741211	66.9000015258789	66.9000015258789	132000.0	55.24992752075195
4	2015-11-06	67.0	65.0	67.0	65.19999694824219	261000.0	53.84596252441406
5	2015-11-09	64.9000015258789	62.0	64.0999984741211	63.0	282000.0	52.02907943725586
6	2015-11-10	64.0	61.0	63.0	63.099998474121094	408000.0	52.111663818359375
7	2015-11-11	63.099998474121094	62.20000076293945	62.79999923706055	62.900001525878906	166000.0	51.946495056152344
8	2015-11-12	62.900001525878906	61.5	62.900001525878906	62.79999923706055	175000.0	51.86390686035156
9	2015-11-13	62.70000076293945	62.0	62.5	62.70000076293945	107000.0	51.78131866455078
10	2015-11-16	62.0	61.099998474121094	61.400001525878906	62.0	325000.0	51.20322036743164
11	2015-11-17	62.400001525878906	61.400001525878906	62.400001525878906	61.5	339000.0	50.79029083251953
12	2015-11-18	61.79999923706055	61.20000076293945	61.70000076293945	61.5	232000.0	50.79029083251953
13	2015-11-19	63.400001525878906	61.5	61.5	63.400001525878906	191000.0	52.35942077636719
14	2015-11-20	64.0	62.70000076293945	63.400001525878906	64.0	107000.0	52.85493850708008
15	2015-11-23	64.0	63.29999923706055	64.0	63.79999923706055	65000.0	52.689762115478516
16	2015-11-24	64.0	62.5	63.099998474121094	64.0	307000.0	52.85493850708008
17	2015-11-25	63.79999923706055	62.5	63.79999923706055	62.5	214000.0	51.61614990234375
18	2015-11-26	63.400001525878906	61.599998474121094	62.0	63.0	180000.0	52.02907943725586
19	2015-11-27	63.0	61.5	62.0	63.0	204000.0	52.02907943725586
20	2015-11-30	62.099998474121094	61.70000076293945	62.099998474121094	61.70000076293945	120000.0	50.95545959472656
21	2015-12-01	62.400001525878906	62.0	62.400001525878906	62.099998474121094	36000.0	51.285804748535156
22	2015-12-02	62.20000076293945	61.599998474121094	62.099998474121094	62.0	54000.0	51.20322036743164
23	2015-12-03	62.099998474121094	61.20000076293945	62.0	61.5	42000.0	50.79029083251953
24	2015-12-04	61.5	61.0	61.0	61.400001525878906	21000.0	50.70770263671875
25	2015-12-07	61.599998474121094	60.900001525878906	61.0	61.29999923706055	94000.0	50.6251220703125
26	2015-12-08	61.5	60.5	61.0	61.0	110000.0	50.37736511230469
27	2015-12-09	61.0	60.099998474121094	60.599998474121094	61.0	195000.0	50.37736511230469
28	2015-12-10	61.0	60.5	61.0	60.900001525878906	68000.0	50.294776916503906
29	2015-12-11	61.0	60.400001525878906	60.900001525878906	61.0	55000.0	50.37736511230469
30	2015-12-14	61.0	60.400001525878906	60.900001525878906	60.79999923706055	40000.0	50.212188720703125
31	2015-12-15	60.79999923706055	60.5	60.5	60.79999923706055	35000.0	50.212188720703125
32	2015-12-16	60.79999923706055	60.099998474121094	60.5	60.79999923706055	92000.0	50.212188720703125
33	2015-12-17	61.0	60.29999923706055	61.0	60.79999923706055	68000.0	50.212188720703125
34	2015-12-18	61.0	60.099998474121094	61.0	60.099998474121094	50000.0	49.63408660888672
